metric,test_type,model1,model2,model1_n,model1_value,model1_successes,model2_n,model2_value,model2_successes,test_statistic,p_value,p_value_corrected,significant,significant_corrected,effect_size,effect_size_interpretation
W2WR_SR,z-test,A,E,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
W2WR_SR,z-test,B,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
W2WR_SR,z-test,B,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
W2WR_SR,z-test,B,E,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
W2WR_SR,z-test,C,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
W2WR_SR,z-test,C,E,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
W2WR_SR,z-test,D,E,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RC_SR,z-test,A,B,150,0.666667,100,150,0.940000,141,-5.955387,0.000000,0.000000,true,true,-0.736025,medium
RC_SR,z-test,A,C,150,0.666667,100,150,0.666667,100,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RC_SR,z-test,A,D,150,0.666667,100,150,0.686667,103,-0.370295,0.643118,1.000000,false,false,-0.042763,negligible
RC_SR,z-test,A,E,150,0.666667,100,150,0.666667,100,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RC_SR,z-test,B,C,150,0.940000,141,150,0.666667,100,5.955387,0.000000,0.000000,true,true,0.736025,medium
RC_SR,z-test,B,D,150,0.940000,141,150,0.686667,103,5.630608,0.000000,0.000000,true,true,0.693263,medium
RC_SR,z-test,B,E,150,0.940000,141,150,0.666667,100,5.955387,0.000000,0.000000,true,true,0.736025,medium
RC_SR,z-test,C,D,150,0.666667,100,150,0.686667,103,-0.370295,0.643118,1.000000,false,false,-0.042763,negligible
RC_SR,z-test,C,E,150,0.666667,100,150,0.666667,100,0.000000,1.000000,1.000000,false,false,0.000000,negligible
RC_SR,z-test,D,E,150,0.686667,103,150,0.666667,100,0.370295,0.643118,1.000000,false,false,0.042763,negligible
JA_SR,z-test,A,B,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
JA_SR,z-test,A,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
JA_SR,z-test,A,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
JA_SR,z-test,A,E,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
JA_SR,z-test,B,C,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
JA_SR,z-test,B,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
JA_SR,z-test,B,E,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
JA_SR,z-test,C,D,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
JA_SR,z-test,C,E,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
JA_SR,z-test,D,E,150,1.000000,150,150,1.000000,150,0.000000,1.000000,1.000000,false,false,0.000000,negligible
LAT,mann-whitney-u,A,B,150,8507.500000,,150,27098.000000,,122.000000,0.000000,0.000000,true,true,0.989156,large
LAT,mann-whitney-u,A,C,150,8507.500000,,150,7538.500000,,9309.000000,0.007274,0.072741,true,false,0.172533,small
LAT,mann-whitney-u,A,D,150,8507.500000,,150,15458.000000,,2524.500000,0.000000,0.000000,true,true,0.775600,large
LAT,mann-whitney-u,A,E,150,8507.500000,,150,14370.000000,,4954.500000,0.000000,0.000000,true,true,0.559600,large
LAT,mann-whitney-u,B,C,150,27098.000000,,150,7538.500000,,116.000000,0.000000,0.000000,true,true,0.989689,large
LAT,mann-whitney-u,B,D,150,27098.000000,,150,15458.000000,,3985.500000,0.000000,0.000000,true,true,0.645733,large
LAT,mann-whitney-u,B,E,150,27098.000000,,150,14370.000000,,4414.000000,0.000000,0.000000,true,true,0.607644,large
LAT,mann-whitney-u,C,D,150,7538.500000,,150,15458.000000,,2027.500000,0.000000,0.000000,true,true,0.819778,large
LAT,mann-whitney-u,C,E,150,7538.500000,,150,14370.000000,,4186.000000,0.000000,0.000000,true,true,0.627911,large
LAT,mann-whitney-u,D,E,150,15458.000000,,150,14370.000000,,10166.000000,0.116936,1.000000,false,false,0.096356,negligible
COST,mann-whitney-u,A,B,150,2.618407,,150,4.194792,,1711.000000,0.000000,0.000000,true,true,0.847911,large
COST,mann-whitney-u,A,C,150,2.618407,,150,2.584521,,11145.000000,0.851588,1.000000,false,false,0.009333,negligible
COST,mann-whitney-u,A,D,150,2.618407,,150,2.771907,,6364.000000,0.000000,0.000000,true,true,0.434311,medium
COST,mann-whitney-u,A,E,150,2.618407,,150,2.721157,,9877.000000,0.051788,0.517876,false,false,0.122044,small
COST,mann-whitney-u,B,C,150,4.194792,,150,2.584521,,1656.000000,0.000000,0.000000,true,true,0.852800,large
COST,mann-whitney-u,B,D,150,4.194792,,150,2.771907,,4719.000000,0.000000,0.000000,true,true,0.580533,large
COST,mann-whitney-u,B,E,150,4.194792,,150,2.721157,,5578.000000,0.000000,0.000000,true,true,0.504178,large
COST,mann-whitney-u,C,D,150,2.584521,,150,2.771907,,6362.500000,0.000000,0.000000,true,true,0.434444,medium
COST,mann-whitney-u,C,E,150,2.584521,,150,2.721157,,9861.000000,0.049330,0.493305,true,false,0.123467,small
COST,mann-whitney-u,D,E,150,2.771907,,150,2.721157,,9946.000000,0.063592,0.635921,false,false,0.115911,small
