experiment_id,model_config,stage,input_tokens,output_tokens,latency_ms,dsl_errors,render_errors,type_error_count,reference_error_count,cycle_detected,regenerated,runtime_error,timestamp
"exp_1765620460044","B","3","4668","4096","51097","","","0","0","false","false","false","Sat Dec 13 2025 19:45:38 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","1","4060","2361","32472","","","0","0","false","false","false","Sat Dec 13 2025 19:45:49 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","D","3","3220","2544","26856","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 20:24:50 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","3","3934","3778","54197","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:47:14 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","D","1","4086","1031","8308","","","0","0","false","false","false","Sat Dec 13 2025 20:24:58 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","D","2","1792","1398","14912","","","0","0","false","false","false","Sat Dec 13 2025 20:25:01 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","1","4139","7336","90634","","","0","0","false","false","false","Sat Dec 13 2025 20:35:25 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","1","4089","2373","29740","","","0","0","false","false","false","Sat Dec 13 2025 19:47:44 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","3","4167","4036","53146","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:47:44 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","D","3","3013","2598","26045","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 20:28:41 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","1","4079","1269","23898","","","0","0","false","false","false","Sat Dec 13 2025 20:36:01 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","3","3546","2760","38622","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 20:45:57 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","E","1","4116","1306","11211","","","0","0","false","false","false","Sat Dec 13 2025 20:39:14 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","3","5277","4096","42873","","","0","0","false","false","false","Sat Dec 13 2025 19:48:46 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","D","3","3066","3301","30536","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 20:28:46 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","D","1","4141","1138","9967","","","0","0","false","false","false","Sat Dec 13 2025 20:28:51 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","B","3","4179","4096","49300","","","0","0","false","false","false","Sat Dec 13 2025 19:49:17 GMT+0900 (Japan Standard Time)"
