experiment_id,model_config,stage,input_tokens,output_tokens,latency_ms,dsl_errors,render_errors,type_error_count,reference_error_count,cycle_detected,regenerated,runtime_error,timestamp
"exp_1765528462706","C","3","2525","1418","6538","","","0","0","false","false","false","Fri Dec 12 2025 21:20:36 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","C","3","2728","1745","7787","","","0","0","false","false","false","Fri Dec 12 2025 21:23:20 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","C","3","2738","1526","13333","","","0","0","false","false","false","Fri Dec 12 2025 21:23:48 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","C","3","2735","1672","8435","","","0","0","false","false","false","Fri Dec 12 2025 21:25:56 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","C","3","2528","1198","8357","","","0","0","false","false","false","Fri Dec 12 2025 21:27:54 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","C","3","2622","1079","5843","","","0","0","false","false","false","Fri Dec 12 2025 21:29:39 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2420","1834","38119","","","0","0","false","false","false","Fri Dec 12 2025 21:44:53 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2396","2684","45242","","","0","0","false","false","false","Fri Dec 12 2025 21:31:29 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2533","3113","55698","","","0","0","false","false","false","Fri Dec 12 2025 21:34:51 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2959","2321","40127","","","0","0","false","false","false","Fri Dec 12 2025 21:38:00 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2295","3713","69301","","","0","0","false","false","false","Fri Dec 12 2025 21:43:37 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2298","2457","59049","","","0","0","false","false","false","Fri Dec 12 2025 21:46:32 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2319","2329","53952","","","0","0","false","false","false","Fri Dec 12 2025 21:50:03 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","3023","2090","39838","","","0","0","false","false","false","Fri Dec 12 2025 21:51:22 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2331","2902","45191","","","0","0","false","false","false","Fri Dec 12 2025 21:55:34 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","3030","2592","35272","","","0","0","false","false","false","Fri Dec 12 2025 22:42:43 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2718","3989","62945","","","0","0","false","false","false","Fri Dec 12 2025 21:59:56 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2409","2201","46606","","","0","0","false","false","false","Fri Dec 12 2025 22:04:27 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2433","2992","64651","","","0","0","false","false","false","Fri Dec 12 2025 22:06:09 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","3190","2320","40618","","","0","0","false","false","false","Fri Dec 12 2025 22:10:24 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","E","3","2327","1116","11764","","","0","0","false","false","false","Fri Dec 12 2025 22:47:04 GMT+0900 (Japan Standard Time)"
"exp_1765528462706","D","3","2239","2267","44501","","","0","0","false","false","false","Fri Dec 12 2025 22:11:46 GMT+0900 (Japan Standard Time)"
